transaction_id,amount,hour,day_of_week,merchant_category,transaction_type,location_risk,previous_transactions,avg_transaction_amount,is_international,is_fraud
TXN000046,130.35,1,0,Fuel,ATM,Low,4,79.71,0,0
TXN000047,44.83,12,1,Online,Online,Medium,5,132.56,0,0
TXN000048,88.09,0,0,Grocery,POS,Low,3,126.09,0,0
TXN000049,94.95,18,5,Grocery,Contactless,High,2,81.6,0,1
TXN000050,24.53,10,6,Restaurant,POS,Low,7,74.8,0,0
TXN000051,419.14,4,1,Grocery,Online,Low,5,43.52,0,0
TXN000052,179.07,0,2,Fuel,POS,Medium,4,150.9,0,0
TXN000053,336.61,19,4,Fuel,Contactless,Low,2,150.05,0,0
TXN000054,270.26,12,6,Electronics,Online,Low,4,108.14,0,0
TXN000055,109.33,7,3,Online,Online,Low,7,105.42,0,0
TXN000056,305.93,5,3,Electronics,Contactless,Low,5,62.88,0,0
TXN000057,11.12,16,5,Electronics,POS,Low,6,139.28,0,0
TXN000058,26.18,11,0,Grocery,POS,Low,7,102.01,0,0
TXN000059,5.55,0,0,Grocery,Online,Low,6,32.08,0,0
TXN000060,47.22,2,1,Electronics,Online,Low,8,119.0,0,1
TXN000061,59.06,13,3,Restaurant,Online,Low,8,78.52,0,0
TXN000062,37.99,7,6,Travel,Online,Medium,8,70.67,0,0
TXN000063,211.75,10,5,Luxury,Online,Low,5,65.46,0,0
TXN000064,52.95,13,6,Grocery,POS,Low,4,72.49,0,0
TXN000065,39.58,7,2,Grocery,Contactless,Low,5,121.84,0,0
TXN000066,93.89,2,0,Online,Online,Low,5,83.72,0,1
TXN000067,18.23,6,6,Grocery,Contactless,Low,6,103.63,0,0
TXN000068,194.46,18,3,Online,Contactless,Medium,6,143.37,0,0
TXN000069,9.3,3,4,Luxury,POS,Low,3,100.4,0,0
TXN000070,520.1,15,5,Online,Online,Low,6,134.55,0,0
TXN000071,177.54,12,1,Electronics,POS,Low,6,157.38,0,0
TXN000072,26.58,19,0,Grocery,ATM,Low,4,42.98,0,0
TXN000073,0.66,18,0,Restaurant,Online,Low,2,134.57,0,0
TXN000074,202.79,4,2,Travel,POS,Low,7,166.62,0,0
TXN000075,147.25,22,0,Grocery,Contactless,Medium,3,121.07,0,0
TXN000076,156.68,4,5,Travel,Online,Low,5,90.77,0,0
TXN000077,177.03,19,3,Grocery,Contactless,Low,3,134.82,0,0
TXN000078,9.23,23,3,Fuel,POS,Medium,6,89.24,0,0
TXN000079,53.27,3,3,Online,Contactless,High,8,226.88,0,0
TXN000080,14.78,1,4,Grocery,Online,Low,4,114.62,0,1
TXN000081,238.62,12,4,Grocery,Online,High,2,10.0,0,0
TXN000082,117.16,15,0,Grocery,ATM,Medium,9,63.52,0,0
TXN000083,48.22,21,6,Grocery,Online,Low,6,128.8,0,0
TXN000084,7.88,1,4,Grocery,Online,Low,6,65.03,0,0
TXN000085,44.7,18,6,Grocery,POS,Low,6,61.7,0,0
TXN000086,47.2,16,6,Electronics,ATM,Low,3,103.11,0,0
TXN000087,156.95,4,4,Luxury,Online,Low,3,107.63,0,0
TXN000088,121.79,17,2,Online,ATM,High,5,89.01,1,0
TXN000089,261.87,22,4,Fuel,POS,Low,5,106.4,0,0
TXN000090,76.69,20,1,Grocery,POS,Medium,2,205.97,0,0
TXN000091,15.28,17,1,Grocery,POS,Medium,2,71.89,0,0
TXN000092,149.9,7,6,Travel,ATM,Low,6,58.03,0,0
TXN000093,171.65,14,1,Restaurant,POS,Medium,6,76.54,0,0
TXN000094,98.87,12,0,Online,POS,Medium,6,133.49,0,0
TXN000095,176.87,12,3,Grocery,Online,Low,9,120.19,0,0
TXN000096,81.7,15,2,Travel,POS,Medium,5,58.94,1,0
TXN000097,88.76,21,0,Fuel,Contactless,Low,4,74.75,0,0
TXN000098,66.94,19,3,Online,Online,Low,3,120.96,0,0
TXN000099,3.09,12,2,Restaurant,Contactless,Low,9,37.1,0,0
TXN000100,13.7,19,6,Fuel,POS,Medium,4,124.04,0,0
TXN000101,3.83,1,2,Restaurant,POS,Medium,8,122.67,1,1
TXN000102,121.41,2,2,Luxury,POS,Low,6,123.81,0,0
TXN000103,45.29,14,1,Electronics,Online,Low,9,89.36,0,0
TXN000104,85.25,22,1,Grocery,POS,Low,11,105.92,1,0
TXN000105,285.75,18,1,Fuel,POS,Low,2,120.17,0,0
TXN000106,34.41,12,2,Grocery,Contactless,Low,4,96.31,0,0
TXN000107,63.39,4,5,Fuel,POS,High,5,33.95,0,0
TXN000108,169.05,21,2,Online,Online,High,7,175.11,0,0
TXN000109,31.18,5,1,Restaurant,Online,Low,4,100.32,0,0
TXN000110,9.61,13,2,Restaurant,POS,Low,4,122.85,0,0
TXN000111,41.06,3,1,Restaurant,Online,Medium,3,112.15,0,0
TXN000112,21.1,21,1,Luxury,Online,Medium,10,199.95,0,0
TXN000113,318.59,18,1,Online,POS,Low,4,68.32,0,0
TXN000114,198.11,22,6,Restaurant,POS,Low,4,147.3,0,0
TXN000115,120.42,6,6,Fuel,ATM,High,4,96.14,0,0
TXN000116,246.18,3,5,Electronics,POS,Low,6,52.2,0,1
TXN000117,195.36,1,3,Electronics,Online,High,3,90.14,0,0
TXN000118,24.78,6,2,Electronics,Online,High,7,168.8,0,1
TXN000119,267.7,2,0,Electronics,POS,Low,8,82.32,0,0
TXN000120,93.01,14,1,Restaurant,Contactless,High,7,84.98,0,0
TXN000121,197.68,0,5,Restaurant,POS,Low,3,39.53,0,0
TXN000122,271.71,1,0,Grocery,POS,Low,5,137.71,0,0
TXN000123,45.93,9,6,Online,Online,Low,4,124.53,0,0
TXN000124,13.99,15,3,Fuel,POS,Low,4,88.04,0,0
TXN000125,31.04,14,2,Restaurant,Online,Low,2,73.02,0,0
TXN000126,66.85,23,6,Restaurant,Contactless,Low,5,91.73,0,0
TXN000127,204.46,14,5,Restaurant,POS,Low,3,73.62,0,0
TXN000128,236.56,13,1,Electronics,POS,Low,8,117.92,0,0
TXN000129,0.84,21,1,Travel,POS,Medium,2,144.41,0,0
TXN000130,85.79,13,1,Grocery,ATM,Low,6,144.07,0,0
TXN000131,64.83,5,5,Restaurant,POS,Medium,7,172.76,1,0
TXN000132,30.14,13,6,Electronics,POS,Low,2,170.06,0,0
TXN000133,15.32,16,0,Restaurant,Online,Low,5,58.01,0,0
TXN000134,49.43,17,3,Grocery,Online,Low,7,29.41,1,0
TXN000135,343.57,19,2,Travel,POS,Low,5,105.89,0,0
TXN000136,46.85,18,3,Grocery,Contactless,Low,3,59.1,0,0
TXN000137,87.77,16,6,Online,POS,Low,3,71.23,0,0
TXN000138,145.69,15,1,Online,Online,Low,4,116.43,1,1
TXN000139,54.24,7,3,Electronics,POS,Low,8,120.88,0,0
TXN000140,428.14,6,0,Electronics,Contactless,Low,7,87.77,0,0
TXN000141,393.84,19,4,Restaurant,POS,Medium,4,124.45,0,0
TXN000142,34.81,11,6,Grocery,POS,Low,6,148.65,0,0
TXN000143,82.52,8,4,Grocery,POS,Low,8,133.6,0,0
TXN000144,42.95,13,2,Grocery,Contactless,Low,4,80.18,1,0
TXN000145,40.23,19,2,Restaurant,POS,High,7,104.61,0,0
TXN000146,4.51,0,3,Grocery,POS,Low,4,96.4,0,0
TXN000147,112.86,9,2,Electronics,Online,Low,5,70.7,0,0
TXN000148,83.82,16,6,Restaurant,POS,Medium,5,149.56,1,0
TXN000149,6.34,16,5,Grocery,ATM,Low,9,90.96,0,0
TXN000150,39.2,16,0,Grocery,Online,Medium,8,49.39,0,0
TXN000151,286.66,3,1,Online,POS,Low,3,98.24,0,0
TXN000152,32.86,16,1,Restaurant,Online,Low,4,55.99,1,0
TXN000153,18.78,17,3,Electronics,POS,Medium,2,24.89,0,0
TXN000154,80.67,19,1,Grocery,Online,Low,0,111.86,0,0
TXN000155,509.28,22,3,Restaurant,Online,Medium,3,37.27,0,0
TXN000156,33.26,1,2,Grocery,Online,Low,4,137.22,0,0
TXN000157,133.82,7,2,Online,POS,Medium,5,144.85,0,0
TXN000158,172.07,12,5,Restaurant,POS,Low,7,149.59,0,0
TXN000159,32.56,22,5,Online,Contactless,Low,4,118.27,0,0
TXN000160,156.33,21,0,Luxury,Contactless,Low,6,81.94,0,0
TXN000161,55.02,19,1,Fuel,POS,Low,2,86.76,0,0
TXN000162,120.06,21,6,Restaurant,POS,Low,6,80.03,0,0
TXN000163,120.46,14,5,Luxury,Contactless,Low,6,27.2,0,0
TXN000164,92.09,19,0,Restaurant,Online,Low,6,166.68,0,0
TXN000165,11.36,22,4,Grocery,Online,Low,7,128.84,0,0
TXN000166,216.44,8,5,Fuel,Online,Low,4,65.43,0,0
TXN000167,46.42,2,0,Grocery,POS,Low,3,95.84,0,0
TXN000168,24.77,2,3,Restaurant,Online,High,0,98.75,0,0
TXN000169,5.0,1,3,Restaurant,Contactless,Low,4,109.04,1,1
TXN000170,107.25,0,0,Online,POS,Low,4,95.52,0,0
TXN000171,135.82,13,2,Restaurant,Online,Low,3,108.05,0,0
TXN000172,2.01,16,4,Travel,Online,Low,4,58.64,0,0
TXN000173,86.12,12,0,Electronics,Contactless,Medium,6,100.74,0,0
TXN000174,30.82,18,5,Electronics,POS,Low,6,116.95,0,0
TXN000175,124.33,22,2,Online,Contactless,Low,4,138.81,0,0
TXN000176,22.99,14,0,Travel,POS,High,2,33.1,1,1
TXN000177,140.91,13,1,Restaurant,Online,Low,7,133.24,0,0
TXN000178,58.68,1,5,Electronics,POS,Low,1,70.64,0,0
TXN000179,331.24,6,5,Restaurant,Contactless,Low,3,85.08,0,0
TXN000180,17.75,16,3,Online,POS,Low,5,136.62,0,0
TXN000181,50.06,17,1,Grocery,Contactless,Medium,2,123.66,0,0
TXN000182,14.45,5,1,Restaurant,Online,High,5,119.26,0,1
TXN000183,310.34,20,5,Electronics,ATM,Medium,5,122.9,0,0
TXN000184,251.8,7,4,Grocery,POS,Medium,4,95.31,0,0
TXN000185,35.8,1,6,Travel,POS,High,5,82.69,0,0
TXN000186,129.45,0,2,Grocery,Online,Medium,9,175.74,0,0
TXN000187,203.94,15,3,Electronics,Online,Low,3,97.29,0,0
TXN000188,97.22,6,1,Travel,POS,Low,12,198.24,0,0
TXN000189,90.51,21,3,Travel,Online,Low,5,94.38,0,0
TXN000190,33.23,23,5,Electronics,POS,Low,0,50.09,0,0
TXN000191,11.73,10,2,Online,Online,Low,1,51.82,0,0
TXN000192,273.01,14,0,Grocery,POS,Medium,4,108.18,0,0
TXN000193,276.81,12,1,Online,POS,Low,8,108.88,0,0
TXN000194,120.32,23,2,Travel,Contactless,Low,9,135.98,0,0
TXN000195,49.69,1,6,Electronics,Online,Low,2,159.18,0,1
TXN000196,51.55,13,3,Grocery,ATM,Low,7,92.48,0,0
TXN000197,155.34,23,5,Electronics,POS,Low,7,76.87,0,0
TXN000198,272.89,5,2,Grocery,POS,Low,5,154.47,0,0
TXN000199,261.74,8,0,Restaurant,Online,Medium,10,42.46,0,0
TXN000200,181.63,6,2,Electronics,POS,Medium,7,10.0,1,0
TXN000201,123.28,17,5,Electronics,POS,Low,6,118.36,0,0
TXN000202,10.55,23,3,Travel,POS,Low,5,71.32,0,0
TXN000203,21.16,8,1,Grocery,POS,Medium,7,76.38,0,0
TXN000204,274.59,22,6,Restaurant,POS,Low,6,109.7,0,0
TXN000205,111.9,3,6,Grocery,Contactless,Low,7,84.54,0,0
TXN000206,1.11,8,1,Restaurant,Online,Low,5,133.6,1,1
TXN000207,12.84,3,4,Restaurant,Online,Low,8,83.94,0,0
TXN000208,130.7,11,3,Travel,POS,High,7,40.63,0,0
TXN000209,0.61,3,6,Grocery,ATM,Low,10,53.88,0,0
TXN000210,21.04,23,4,Grocery,POS,Low,7,97.81,0,0
TXN000211,95.48,19,4,Grocery,POS,Low,4,200.44,0,0
TXN000212,141.28,13,5,Grocery,POS,Medium,3,110.5,0,0
TXN000213,126.65,23,5,Grocery,Online,Low,4,105.36,1,1
TXN000214,30.47,23,5,Restaurant,Contactless,Low,5,187.35,0,0
TXN000215,149.45,6,0,Restaurant,POS,Low,7,91.04,0,0
TXN000216,32.5,12,3,Luxury,Contactless,Medium,3,94.99,0,0
TXN000217,47.24,21,1,Fuel,Contactless,Medium,10,79.03,0,0
TXN000218,164.68,7,3,Fuel,POS,High,6,88.2,0,0
TXN000219,125.85,22,5,Online,POS,Low,7,114.97,0,0
TXN000220,227.03,4,0,Fuel,Contactless,Low,5,196.8,1,1
TXN000221,128.62,11,3,Restaurant,POS,Medium,8,62.91,1,0
TXN000222,100.81,12,3,Online,ATM,Medium,7,46.97,0,0
TXN000223,11.8,19,4,Online,Contactless,Low,10,109.03,0,0
TXN000224,55.01,13,3,Fuel,ATM,Low,8,141.96,0,0
TXN000225,36.98,17,4,Restaurant,Online,Low,7,55.97,0,0
TXN000226,33.56,23,4,Fuel,ATM,Low,5,90.22,0,0
TXN000227,433.48,19,2,Restaurant,Online,Medium,5,133.99,0,0
TXN000228,59.93,3,5,Online,Online,Low,8,88.16,0,0
TXN000229,267.13,20,6,Electronics,POS,Medium,4,156.15,0,0
TXN000230,119.68,17,0,Luxury,ATM,Low,4,48.55,0,0
TXN000231,190.06,6,4,Restaurant,Contactless,Low,3,124.05,0,0
TXN000232,83.81,14,3,Electronics,Online,Low,4,89.02,1,0
TXN000233,103.22,20,4,Travel,Online,Low,5,102.74,0,0
TXN000234,81.4,5,4,Fuel,Online,High,5,92.95,0,0
TXN000235,26.07,15,4,Grocery,Contactless,Low,3,163.63,0,0
TXN000236,153.81,19,1,Online,POS,Low,7,122.31,0,0
TXN000237,39.55,23,6,Fuel,Online,Low,4,123.51,0,0
TXN000238,2.95,7,6,Fuel,Contactless,Low,2,47.3,0,0
TXN000239,124.44,20,1,Travel,POS,Low,2,141.69,0,0
TXN000240,23.39,15,1,Online,Contactless,Low,4,122.62,0,0
TXN000241,338.53,21,1,Online,Contactless,Low,2,63.28,0,0
TXN000242,369.31,15,6,Fuel,Contactless,Low,7,86.53,0,0
TXN000243,295.62,2,2,Fuel,Online,Low,7,19.27,0,1
TXN000244,55.47,16,4,Electronics,POS,Low,5,135.35,0,0
TXN000245,1.87,8,2,Fuel,Online,Low,3,86.13,0,0
TXN000246,316.26,2,3,Online,POS,High,9,148.0,0,0
TXN000247,67.07,19,6,Restaurant,POS,Low,6,125.72,0,0
TXN000248,408.1,6,5,Grocery,Contactless,Low,7,101.16,0,0
TXN000249,397.65,17,6,Grocery,Online,Low,6,157.16,0,0
TXN000250,230.09,11,0,Online,POS,Low,5,106.19,0,0
TXN000251,41.85,18,2,Luxury,POS,Medium,7,68.63,0,1
TXN000252,58.36,15,1,Fuel,Online,Medium,4,133.71,0,0
TXN000253,228.57,21,1,Restaurant,Contactless,Low,3,53.15,0,0
TXN000254,45.74,23,3,Electronics,Online,Low,8,105.17,0,0
TXN000255,22.29,16,4,Travel,POS,Low,9,129.7,0,0
TXN000256,97.65,19,0,Restaurant,Online,Low,1,116.43,0,0
TXN000257,330.16,14,2,Restaurant,POS,Medium,2,79.45,0,0
TXN000258,142.9,0,4,Electronics,POS,Low,2,48.22,0,0
TXN000259,101.29,1,4,Fuel,Online,Low,2,118.26,0,0
TXN000260,12.27,7,5,Grocery,Online,Low,2,121.51,0,0
TXN000261,114.54,21,5,Online,Online,High,2,60.48,0,0
TXN000262,553.27,1,2,Online,ATM,Medium,3,142.27,1,1
TXN000263,18.11,18,2,Luxury,Online,Medium,7,10.0,0,0
TXN000264,87.66,8,2,Online,Contactless,Low,4,13.06,0,0
TXN000265,251.83,8,2,Restaurant,ATM,Medium,2,106.3,0,0
TXN000266,162.0,12,1,Grocery,Online,Low,2,119.09,0,0
TXN000267,143.29,5,6,Travel,POS,Low,2,106.66,0,0
TXN000268,145.47,14,6,Electronics,Contactless,Low,4,14.45,0,0
TXN000269,53.46,18,4,Fuel,Contactless,Medium,7,113.39,1,0
TXN000270,41.71,20,6,Electronics,POS,Low,0,123.38,0,0
TXN000271,198.88,14,4,Fuel,Online,Medium,4,133.64,0,0
TXN000272,199.36,17,1,Restaurant,POS,Low,2,190.46,1,1
TXN000273,242.15,6,6,Grocery,POS,Medium,5,10.0,0,0
TXN000274,293.35,10,4,Grocery,Online,Low,5,118.13,0,0
TXN000275,85.93,7,2,Restaurant,POS,High,5,143.46,0,0
TXN000276,83.54,5,0,Travel,POS,Low,9,59.16,0,0
TXN000277,192.11,7,6,Restaurant,Online,Low,6,94.56,0,0
TXN000278,125.97,1,5,Grocery,Contactless,Low,4,119.8,0,0
TXN000279,145.27,18,5,Fuel,ATM,Low,6,105.38,0,0
TXN000280,190.63,15,4,Travel,Contactless,Low,5,141.79,0,0
TXN000281,264.88,6,0,Restaurant,Online,Low,4,130.43,0,0
TXN000282,49.5,9,5,Grocery,Online,Low,6,90.37,0,0
TXN000283,56.51,11,6,Online,ATM,Medium,4,154.81,0,0
TXN000284,11.84,16,0,Grocery,Online,Low,6,121.93,0,0
TXN000285,103.61,6,1,Grocery,POS,Low,8,75.65,0,0
TXN000286,4.39,21,3,Fuel,POS,Low,8,41.97,0,0
TXN000287,75.19,7,4,Electronics,Contactless,High,5,52.24,0,0
TXN000288,93.88,6,1,Online,POS,Medium,3,125.67,0,0
TXN000289,40.52,3,1,Grocery,POS,Low,4,31.49,0,0
TXN000290,107.24,2,0,Electronics,Online,Medium,1,34.06,0,1
TXN000291,3.72,18,4,Electronics,Contactless,Low,3,114.98,0,0
TXN000292,4.57,14,1,Fuel,POS,Low,5,159.84,1,1
TXN000293,207.52,3,2,Grocery,Online,Low,1,69.3,0,0
TXN000294,53.59,8,1,Grocery,POS,Medium,4,114.4,0,0
TXN000295,16.31,12,2,Electronics,Online,High,4,163.52,0,0
TXN000296,88.64,17,3,Restaurant,Online,High,5,157.33,0,0
TXN000297,176.36,20,2,Travel,POS,Low,9,62.38,0,0
TXN000298,29.17,15,2,Restaurant,Contactless,Low,6,103.12,1,0
TXN000299,117.03,0,0,Restaurant,ATM,Low,8,110.02,0,0
TXN000300,10.71,3,1,Electronics,POS,Low,6,161.04,0,0
TXN000301,6.37,17,3,Online,POS,Low,9,147.01,0,0
TXN000302,90.95,7,1,Fuel,POS,Medium,4,105.66,0,0
TXN000303,93.35,19,6,Electronics,Contactless,Low,8,101.71,1,0
TXN000304,121.74,15,6,Restaurant,POS,Low,5,34.75,0,0
TXN000305,155.4,20,2,Restaurant,POS,Low,2,115.15,0,0
TXN000306,446.83,10,5,Electronics,Online,High,5,108.84,0,0
TXN000307,87.15,19,2,Grocery,POS,Low,11,116.95,1,0
TXN000308,46.8,20,1,Grocery,POS,Low,8,121.74,0,0
TXN000309,190.28,20,3,Luxury,Online,Low,8,84.91,0,0
TXN000310,37.9,20,5,Grocery,POS,Low,6,124.29,1,0
TXN000311,69.36,18,3,Restaurant,Contactless,Low,3,114.82,1,0
TXN000312,9.8,22,0,Grocery,Contactless,Low,1,98.33,0,0
TXN000313,3.08,18,2,Grocery,Online,Low,6,29.31,0,0
TXN000314,394.49,17,2,Electronics,Online,Low,6,121.53,0,0
TXN000315,216.93,18,6,Grocery,Online,Medium,7,105.05,0,0
TXN000316,142.88,10,0,Grocery,Online,Medium,4,121.95,0,0
TXN000317,63.1,2,6,Restaurant,POS,Low,8,89.43,0,0
TXN000318,22.84,7,1,Fuel,POS,High,9,135.02,1,0
TXN000319,20.41,19,2,Travel,Contactless,Medium,5,48.98,1,0
TXN000320,34.56,18,1,Grocery,POS,Low,5,153.34,0,0
TXN000321,95.61,9,3,Online,Online,Low,8,100.89,0,0
TXN000322,150.46,15,5,Online,Online,Low,2,108.4,1,0
TXN000323,129.53,4,5,Grocery,POS,Medium,5,58.52,0,0
TXN000324,39.41,19,5,Online,ATM,Low,5,144.05,0,0
TXN000325,371.77,8,6,Grocery,Contactless,Low,3,85.0,0,0
TXN000326,160.68,7,4,Restaurant,POS,Low,5,159.31,0,0
TXN000327,96.99,10,0,Electronics,Contactless,Low,4,104.22,0,0
TXN000328,113.52,15,5,Fuel,POS,Medium,7,136.63,0,0
TXN000329,65.28,6,2,Fuel,ATM,Medium,4,145.8,0,0
TXN000330,34.16,14,0,Electronics,Online,Low,5,83.39,0,0
TXN000331,52.8,23,3,Restaurant,Online,Low,2,153.24,0,0
TXN000332,170.18,20,3,Restaurant,POS,Low,3,119.19,0,0
TXN000333,1.74,19,6,Fuel,POS,Low,5,90.23,0,0
TXN000334,14.81,22,3,Online,Contactless,Low,7,175.32,0,0
TXN000335,5.65,16,3,Online,Online,Medium,6,148.49,0,0
TXN000336,4.99,5,4,Online,Online,Low,6,129.54,0,0
TXN000337,232.1,14,1,Online,Contactless,Low,4,57.51,0,0
TXN000338,145.95,7,1,Electronics,Online,Low,8,147.25,1,0
TXN000339,77.13,6,5,Electronics,POS,Low,3,121.4,0,0
TXN000340,12.35,1,4,Grocery,Contactless,Low,6,95.02,0,0
TXN000341,81.18,12,6,Online,Contactless,Low,4,138.22,0,0
TXN000342,76.97,22,1,Grocery,POS,Low,5,76.73,0,0
TXN000343,22.82,5,6,Electronics,Online,Medium,3,83.38,0,0
TXN000344,68.27,4,6,Grocery,Contactless,Low,7,51.65,0,0
TXN000345,61.0,19,3,Grocery,POS,Low,7,144.69,0,0
TXN000346,114.81,0,1,Grocery,POS,High,10,37.52,0,0
TXN000347,120.97,17,0,Restaurant,Online,Low,9,106.89,0,0
TXN000348,5.56,14,5,Grocery,POS,Low,4,113.25,0,0
TXN000349,56.33,22,1,Restaurant,Online,Low,4,118.53,0,0
TXN000350,117.97,9,0,Luxury,Online,Medium,10,70.85,0,0
TXN000351,83.93,2,2,Travel,POS,Low,6,87.43,0,0
TXN000352,232.96,4,0,Grocery,Contactless,Low,4,135.22,0,1
TXN000353,129.0,23,0,Online,POS,Low,8,134.11,0,0
TXN000354,21.34,12,3,Travel,POS,Low,4,156.18,1,0
TXN000355,8.78,7,3,Grocery,POS,Low,9,88.99,0,0
TXN000356,123.41,21,5,Travel,ATM,Medium,2,76.4,0,0
TXN000357,3.22,20,3,Travel,POS,Low,7,177.28,0,0
TXN000358,105.76,1,0,Fuel,POS,Low,2,183.16,0,0
TXN000359,338.07,8,4,Grocery,Contactless,Low,8,127.21,0,0
TXN000360,102.81,16,3,Restaurant,Contactless,Low,8,29.82,0,0
TXN000361,58.96,17,3,Travel,POS,Low,2,111.95,0,0
TXN000362,123.7,12,0,Electronics,POS,Low,5,64.32,1,0
TXN000363,73.55,0,2,Restaurant,Online,Medium,6,103.59,0,0
TXN000364,94.66,11,2,Electronics,Online,Medium,4,106.61,0,0
TXN000365,340.58,19,1,Restaurant,Contactless,Low,5,148.35,0,0
TXN000366,58.55,19,5,Electronics,POS,Low,4,62.95,0,0
TXN000367,389.89,20,2,Electronics,POS,Low,1,177.7,0,0
TXN000368,282.91,4,3,Online,Online,High,2,80.67,1,1
TXN000369,26.15,7,4,Travel,Online,Medium,3,38.89,0,0
TXN000370,8.63,14,1,Electronics,Online,Low,6,17.89,0,1
TXN000371,12.75,2,5,Fuel,Contactless,Low,4,111.93,0,0
TXN000372,2.21,5,4,Restaurant,Online,Medium,6,89.89,0,0
TXN000373,11.9,12,4,Luxury,POS,Low,10,92.36,0,0
TXN000374,137.86,11,3,Restaurant,Online,High,6,131.28,0,0
TXN000375,8.86,18,0,Fuel,POS,High,7,56.46,0,0
TXN000376,46.1,17,0,Online,Online,Medium,7,85.62,0,0
TXN000377,223.62,23,0,Travel,Contactless,Low,10,141.38,0,0
TXN000378,2.83,0,2,Grocery,Online,Low,6,75.92,0,0
TXN000379,202.14,6,0,Restaurant,POS,Low,6,155.23,1,0
TXN000380,39.73,11,5,Fuel,Online,Medium,7,83.86,1,1
TXN000381,15.09,9,3,Travel,POS,Low,5,83.64,0,0
TXN000382,143.18,11,2,Grocery,POS,Low,10,136.91,0,0
TXN000383,118.97,10,5,Fuel,Online,Low,5,101.07,0,0
TXN000384,251.93,3,0,Electronics,Online,Low,6,105.53,0,0
TXN000385,159.4,18,5,Grocery,Online,High,2,68.9,0,0
TXN000386,195.24,5,4,Electronics,Online,High,7,86.75,1,0
TXN000387,39.76,8,3,Restaurant,POS,Medium,5,65.43,0,0
TXN000388,23.44,19,3,Electronics,POS,Medium,6,82.27,0,0
TXN000389,166.65,9,5,Restaurant,POS,Low,3,69.11,0,0
TXN000390,197.31,4,1,Restaurant,ATM,Low,5,134.56,0,0
TXN000391,558.84,12,3,Restaurant,ATM,Low,5,47.69,0,0
